# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_cons_01  order by site_no' |# 02/19/2019 21:01:02, llorzol
#
agency_cd	site_no	cons_seq_nu	cons_dt	special_treat_cd	cons_contractor_nm	cons_src_cd	seal_depth_va	seal_cd	cons_meth_cd	dev_meth_cd	dev_du	finish_cd	cons_web_cd	cons_cn	cons_cr	cons_mn	cons_md
5s	15s	9n	8s	1s	12s	1s	4s	1s	1s	1s	3s	1s	1s	8s	25d	8s	25d
USGS	413632121170801	1											Y	tiffany	10-AUG-2001 14:05:54	tiffany	10-AUG-2001 14:05:54
USGS	413640121124301	1				D							Y	tiffany	10-AUG-2001 14:05:56	tiffany	10-AUG-2001 14:05:56
USGS	413640121124301	2	19910629		MODOC DRILL.	D			A				Y	tiffany	10-AUG-2001 14:05:57	tiffany	10-AUG-2001 14:05:57
USGS	413746121222901	1											Y	tiffany	25-JAN-2002 21:51:51	tiffany	25-JAN-2002 21:51:51
USGS	413759121473801	1							D				Y	tiffany	10-SEP-2002 21:41:49	tiffany	10-SEP-2002 21:41:49
USGS	413804121581501	1	19671120		VAN METER,J.	D	  15	Z	C			X	Y	tiffany	25-JAN-2002 21:51:48	tiffany	25-JAN-2002 21:51:48
USGS	413827121512801	1											Y	tiffany	10-SEP-2002 21:41:49	tiffany	10-SEP-2002 21:41:49
USGS	413850121071401	1			VOCHATZER BR	O			C				Y	tiffany	25-JAN-2002 21:51:53	tiffany	25-JAN-2002 21:51:53
USGS	413854121103801	1			VOCHATZER	D							Y	tiffany	10-AUG-2001 14:05:56	tiffany	10-AUG-2001 14:05:56
USGS	413903121035201	1	19190910		VAN METER	O			C				Y	tiffany	10-SEP-2002 21:41:50	tiffany	10-SEP-2002 21:41:50
USGS	413936121490601	1	19820129		ENLOE	D		G	A			X	Y	tiffany	10-AUG-2001 14:05:52	tiffany	10-AUG-2001 14:05:52
USGS	414032121093301	1			VOCHATZER	D							Y	tiffany	10-AUG-2001 14:05:56	tiffany	10-AUG-2001 14:05:56
USGS	414036121151101	1	19440710			A							Y	tiffany	11-MAR-2003 16:28:05	tiffany	11-MAR-2003 16:28:05
USGS	414040121070201	1			VOCHATZER	D							Y	tiffany	10-AUG-2001 14:05:54	tiffany	10-AUG-2001 14:05:54
USGS	414043121155501	1	195906		MCGINLEY	D							Y	tiffany	16-AUG-2001 16:27:30	tiffany	16-AUG-2001 16:27:30
USGS	414053121104101	1	19890127		ORVL BUCKNER	D	 300		A			F	Y	tiffany	10-AUG-2001 14:05:55	tiffany	10-AUG-2001 14:05:55
USGS	414129121522301	1											Y	tiffany	10-SEP-2002 21:41:48	tiffany	10-SEP-2002 21:41:48
USGS	414203121104001	1	19871113		VAN METER,JA	D	  19	G	A			X	Y	tiffany	10-AUG-2001 14:15:05	tiffany	10-AUG-2001 14:15:05
USGS	414203121104002	1	19890122		ORVL BUCKNER	D	 100		A			F	Y	tiffany	10-AUG-2001 14:15:04	tiffany	10-AUG-2001 14:15:04
USGS	414212121204301	1										O	Y	tiffany	25-JAN-2002 21:51:54	tiffany	18-JAN-2005 20:54:09
USGS	414236121584601	1	19680320		ENLOE	D	  10	G	C			P	Y	tiffany	10-AUG-2001 14:05:57	tiffany	10-AUG-2001 14:05:57
USGS	414300121302401	1	19390726			A			C				Y	tiffany	16-AUG-2001 16:27:30	tiffany	16-AUG-2001 16:27:30
USGS	414413121100501	1	19890401		BUCKNER DRLG	D	 300		A				Y	tiffany	10-AUG-2001 14:15:03	tiffany	10-AUG-2001 14:15:03
USGS	414430120595601	1	19991009		ENLOE	D	  20	G				P	Y	tiffany	10-AUG-2001 14:15:05	tiffany	10-AUG-2001 14:15:05
USGS	414531120574701	1	19960912		ENLOE	D	  20	G	A			P	Y	tiffany	10-AUG-2001 14:15:06	tiffany	10-AUG-2001 14:15:06
USGS	414625120515001	1	19960910		ENLOE L DRLG	D	  20	G	A			S	Y	tiffany	10-AUG-2001 14:15:07	tiffany	10-AUG-2001 14:15:07
USGS	414701121023101	1	19960917		ENLOE,L	D	  20	G	A			P	Y	tiffany	10-AUG-2001 14:15:11	tiffany	10-AUG-2001 14:15:11
USGS	414706122001701	1	19631216		VAN METER	D	  57	G	C			P	Y	tiffany	10-AUG-2001 14:15:08	tiffany	10-AUG-2001 14:15:08
USGS	414713121064301	1	199210		MORRIS BOYS	D	  20	G	C			X	Y	tiffany	10-AUG-2001 14:15:08	tiffany	10-AUG-2001 14:15:08
USGS	414844121271901	1	19660527		GEO-DATA	D			A				Y	tiffany	16-AUG-2001 16:27:33	tiffany	16-AUG-2001 16:27:33
USGS	414903121234001	1	20010629		LANG	D	  98	G				G	Y	tiffany	12-MAR-2003 21:52:52	tiffany	14-MAR-2003 14:37:10
USGS	414931121303401	1	196410		JANNSEN	A			C			X	Y	tiffany	16-AUG-2001 16:27:31	tiffany	16-AUG-2001 16:27:31
