# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_coop_01  order by site_no' |# 02/19/2019 21:01:02, llorzol
#
agency_cd	site_no	coop_seq_nu	coop_site_no	registration_no_va	coop_stat_cd	unapproved_cd	coop_inspect_dt	coop_remark_tx	coop_web_cd	coop_cn	coop_cr	coop_mn	coop_md
5s	15s	9n	10s	12s	2s	1s	8s	25s	1s	8s	25d	8s	25d
USGS	413640121124301	1	CDWR366808						L	tiffany	24-JAN-2003 14:27:15	tiffany	24-JAN-2003 14:27:15
USGS	413804121581501	1	CDWR 49906						L	tiffany	24-APR-2002 14:06:18	tiffany	13-SEP-2002 13:47:51
USGS	413903121035201	1	440817J01M						L	tiffany	24-JAN-2003 14:27:15	tiffany	04-FEB-2003 20:58:03
USGS	413936121490601	1	CDWR 11034						L	tiffany	24-APR-2002 14:05:09	tiffany	13-SEP-2002 13:47:51
USGS	414036121151101	1	440602N01M						L	tiffany	11-MAR-2003 16:28:08	tiffany	11-MAR-2003 16:28:08
USGS	414043121155501	1	440603P01M						L	tiffany	04-FEB-2003 20:58:02	tiffany	04-FEB-2003 20:58:02
USGS	414053121104101	1	CDWR 78627						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	414203121104001	1	CDWR215491						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	414203121104002	1	CDWR193052						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	414236121584601	1	CDWR  3960						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414300121302401	1	450428A01M						L	tiffany	04-FEB-2003 20:58:02	tiffany	04-FEB-2003 20:58:02
USGS	414413121100501	1	CDWR224063						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	414430120595601	1	CDWR705578						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	414531120574701	1	CDWR557381						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414625120515001	1	CDWR557373						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414701121023101	1	CDWR557380						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414706122001701	1	CDWR 70191						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414713121064301	1	CDWR264800						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	414844121271901	1	460519M01M						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	414903121234001	1	CDWR751117						L	tiffany	12-MAR-2003 21:53:00	tiffany	14-MAR-2003 14:37:11
USGS	414931121303401	1	460415J01M						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	415057121022101	1	CDWR414082						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	415104121232901	1	460503P01M						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	415233120535001	1	CDWR557374						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	415245121015801	1	CDWR414083						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	415336121403901	1	470319N01M						L	tiffany	04-FEB-2003 20:59:03	tiffany	04-FEB-2003 20:59:03
USGS	415341120535001	1	CDWR509027						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	415425121383701	1	470317R01M						L	tiffany	04-FEB-2003 20:59:03	tiffany	04-FEB-2003 20:59:03
USGS	415425121383702	1	470317R02M						L	tiffany	05-APR-2007 15:02:09	tiffany	05-APR-2007 15:02:09
USGS	415436121443001	1	470215N01M						L	tiffany	24-JAN-2003 14:27:16	tiffany	04-FEB-2003 20:58:03
USGS	415454121381101	1	470316F02M						L	tiffany	04-FEB-2003 20:59:03	tiffany	04-FEB-2003 20:59:03
USGS	415455121381101	1	470316F01M						L	tiffany	04-FEB-2003 20:59:03	tiffany	04-FEB-2003 20:59:03
USGS	415516121373801	1	470316A01M						L	tiffany	04-FEB-2003 20:59:03	tiffany	04-FEB-2003 20:59:03
USGS	415641121335101	1	CDWR 99011						L	tiffany	04-FEB-2003 16:44:28	tiffany	04-FEB-2003 16:44:28
USGS	415710121373201	1	CDWR493850						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	415714121372301	1	CDWR393998						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	415740121284801	1	CDWR797943						L	tiffany	19-MAR-2003 14:57:18	tiffany	19-MAR-2003 14:57:18
USGS	415753121211601	1	CDWR751116						L	tiffany	12-MAR-2003 21:52:59	tiffany	14-MAR-2003 14:37:11
USGS	415820121332001	1	CDWR751108						L	tiffany	24-JAN-2003 14:26:42	tiffany	24-JAN-2003 14:26:42
USGS	415829121365901	1	CDWR393997						L	tiffany	04-FEB-2003 16:44:29	tiffany	04-FEB-2003 16:44:29
USGS	415835121221701	1	CDWR751115						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415838120545901	1	CDWR138590						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	415932121390301	1	480320C01M						L	tiffany	13-FEB-2003 14:56:09	tiffany	13-FEB-2003 14:56:09
USGS	415946121213501	1	CDWR751114						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415947121243401	1	CDWR751113						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415947121270301	1	CDWR751112						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415953121292901	1	CDWR751111						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415953121312701	1	CDWR751110						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415953121324001	1	CDWR751109						L	tiffany	24-JAN-2003 14:26:43	tiffany	24-JAN-2003 14:26:43
USGS	415956121415701	1	CDWR  3352						Y	tiffany	06-SEP-2002 15:07:43	tiffany	06-SEP-2002 15:07:43
USGS	415957121420201	1	CDWR333860						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	420006117385501	1	MALH  2501						Y	tiffany	20-FEB-2003 14:53:56	tiffany	20-FEB-2003 14:53:56
USGS	420011121224301	1	KLAM 10445						L	tiffany	27-JUL-2006 13:07:52	tiffany	27-JUL-2006 13:07:52
USGS	420013121531801	1	KLAM 50228						Y	tiffany	17-OCT-2000 16:48:21	tiffany	17-OCT-2000 16:48:21
USGS	420016121201901	1	KLAM 50763						L	tiffany	14-NOV-2005 20:22:42	tiffany	14-NOV-2005 20:22:42
USGS	420016121201901	2	KLAM 52611						L	tiffany	14-NOV-2005 20:22:42	tiffany	14-NOV-2005 20:22:42
USGS	420019121242901	1	KLAM 53250						Y	tiffany	16-JUN-2016 18:44:07	tiffany	16-JUN-2016 18:44:07
USGS	420019121403701	1	KLAM 14985						Y	tiffany	26-APR-2001 17:34:30	tiffany	26-APR-2001 17:34:30
USGS	420030121140401	1	KLAM 10574						L	tiffany	20-FEB-2003 17:04:28	tiffany	20-FEB-2003 17:04:28
USGS	420030121224201	1	KLAM 52964						L	tiffany	27-JUL-2006 13:07:52	tiffany	27-JUL-2006 13:07:52
USGS	420033121410001	1	KLAM 14914						Y	tiffany	08-SEP-2000 14:59:56	tiffany	08-SEP-2000 14:59:56
USGS	420035121365530	1	KLAM 14967						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	420037124120601	1	CURR   783						Y	tiffany	20-FEB-2003 14:53:56	tiffany	20-FEB-2003 14:53:56
USGS	420038121141001	1	KLAM 10575						L	tiffany	20-FEB-2003 17:04:27	tiffany	20-FEB-2003 17:04:27
USGS	420040121244001	1	KLAM 15097						L	tiffany	16-OCT-2012 20:39:18	tiffany	16-OCT-2012 20:39:18
USGS	420049121211101	1	KLAM 15096						L	tiffany	06-SEP-2002 15:07:42	tiffany	06-SEP-2002 15:07:42
USGS	420049121211102	1	KLAM 10539						L	tiffany	10-SEP-2002 21:41:58	tiffany	10-SEP-2002 21:41:58
USGS	420050121132601	1	KLAM 10642						L	tiffany	26-MAR-2003 18:25:53	tiffany	26-MAR-2003 18:25:53
USGS	420050121224501	1	KLAM 51612						L	tiffany	14-NOV-2005 20:22:40	tiffany	14-NOV-2005 20:22:40
USGS	420050121242001	1	KLAM 53853						L	tiffany	16-OCT-2012 20:39:19	tiffany	16-OCT-2012 20:39:19
USGS	420055121304001	1	KLAM 52795						L	tiffany	05-MAR-2004 13:28:55	tiffany	05-MAR-2004 13:28:55
USGS	420100121410031	1	KLAM 14937						L	tiffany	13-SEP-2002 13:47:50	tiffany	13-SEP-2002 13:47:50
USGS	420100121415401	1	KLAM 14915						Y	tiffany	17-OCT-2000 21:01:49	tiffany	17-OCT-2000 21:01:49
USGS	420103121243501	1	KLAM 51832						L	tiffany	10-SEP-2002 21:41:58	tiffany	10-SEP-2002 21:41:58
USGS	420107121415101	1	KLAM 53773						L	tiffany	27-FEB-2003 21:50:37	tiffany	05-MAR-2004 13:27:49
USGS	420107121415101	2	KLAM 53821						L	tiffany	05-MAR-2004 13:27:49	tiffany	05-MAR-2004 13:27:49
USGS	420110121355901	1	KLAM 14958						Y	tiffany	26-APR-2001 15:14:53	tiffany	26-APR-2001 15:14:53
USGS	420111121421101	1	KLAM 14913						Y	tiffany	17-OCT-2000 21:01:49	tiffany	17-OCT-2000 21:01:49
USGS	420114121335901	1	KLAM 53043						L	tiffany	10-MAR-2004 13:26:19	tiffany	10-MAR-2004 13:26:19
USGS	420115121300601	1	KLAM 53269						L	tiffany	27-JUL-2006 17:24:40	tiffany	27-JUL-2006 17:24:40
USGS	420116121241801	1	KLAM 11254						L	tiffany	10-SEP-2002 21:41:57	tiffany	10-SEP-2002 21:41:57
USGS	420120121355401	1	KLAM 14966						Y	tiffany	26-APR-2001 17:34:30	tiffany	26-APR-2001 17:34:30
USGS	420124121122801	1	KLAM 15130						L	tiffany	13-SEP-2002 13:47:51	tiffany	13-SEP-2002 13:47:51
USGS	420126121360201	1	KLAM 14959						Y	tiffany	26-APR-2001 17:34:30	tiffany	26-APR-2001 17:34:30
USGS	420128121250301	1	KLAM 15072						L	tiffany	10-SEP-2002 15:47:25	tiffany	10-SEP-2002 15:47:25
USGS	420129121203701	1	KLAM 15114						L	tiffany	14-NOV-2005 20:22:41	tiffany	14-NOV-2005 20:22:41
USGS	420129121203701	2	KLAM 52691						L	tiffany	14-NOV-2005 20:22:41	tiffany	14-NOV-2005 20:22:41
USGS	420129121203701	3	KLAM 53243						L	tiffany	14-NOV-2005 20:22:41	tiffany	14-NOV-2005 20:22:41
USGS	420129121352301	1	KLAM 14916						Y	tiffany	17-OCT-2000 21:01:50	tiffany	17-OCT-2000 21:01:50
USGS	420129121355901	1	KLAM 14918						Y	tiffany	17-OCT-2000 21:01:50	tiffany	17-OCT-2000 21:01:50
USGS	420130121255701	1	KLAM 15067						L	tiffany	10-SEP-2002 15:47:24	tiffany	10-SEP-2002 15:47:24
USGS	420134121085601	1	KLAM 10803						L	tiffany	26-MAR-2003 18:25:52	tiffany	26-MAR-2003 18:25:52
USGS	420137121143001	1	KLAM 10748						L	tiffany	20-FEB-2003 17:04:26	tiffany	20-FEB-2003 17:04:26
USGS	420141121234801	1	KLAM 10349						L	tiffany	10-SEP-2002 15:47:26	tiffany	10-SEP-2002 15:47:26
USGS	420143121315001	1	KLAM 52761						L	tiffany	14-NOV-2005 20:19:52	tiffany	14-NOV-2005 20:19:52
USGS	420143121423801	1	KLAM 53777						L	tiffany	27-FEB-2003 21:50:38	tiffany	05-MAR-2004 13:27:49
