# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_geoh_01 order by site_no, geoh_seq_nu' |# 02/19/2019 21:01:04, llorzol
#
agency_cd	site_no	geoh_seq_nu	lith_cd	lith_top_va	lith_bottom_va	lith_unit_cd	lith_ds	contrib_unit_cd	geoh_web_cd	geoh_cn	geoh_cr	geoh_mn	geoh_md
5s	15s	9n	4s	8s	8s	8s	123s	1s	1s	8s	25d	8s	25d
USGS	420137123101901	1	GRNT	   52.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420330123363001	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420428123372701	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420451123431201	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420615123404501	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420630123372901	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420723123342401	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420804123325101	1	ALVM	    0.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420818123393901	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420825123040401	1	SHLE	    0.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	420859123343501	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420907122381801	1	SNDS	    0.00	  284.00	211HRBK	AND CLAYSTONE	S	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	420907122381801	2	BSLT	  284.00	  435.00	217GRDR	WITH QUARTZ	S	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	420909122382001	1	SNDS	    0.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	420909122382002	1	SNDS	    0.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	21-DEC-1989 00:00:00
USGS	420923123321701	1	SHLE	  171.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421018123380501	1		  160.00	  200.00	221GLIC		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421058123382801	1	ALVM	   32.00	   80.00	110ALVM	SANDY GRAVEL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421129123382101	1	SHLE	  152.00	  190.00	221GLIC	FRACT SHALE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421131123190601	1				231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421138123384101	1	GRCL	   20.00	   64.00	110ALVM	CLAYEY GRAVEL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421225123384701	1	SDGL	   86.00	  100.00	110ALVM	SANDY GRAVEL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421228123024801	1	GRNT	   18.00	   26.00	231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421257123170901	1	GRNT	   69.00		217GRDR	WEATHERED FRACTU	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421257123193001	1	GRNT	   75.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421304123181801	1	GRNT	   25.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421310122474601	1	CGLM	    0.00		110ALVF		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421339123034901	1	BSLT			231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421346123023601	1	BSLT	   46.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421401123164901	1	GRNT	   40.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421403123022901	1	CLAY	    0.00	   78.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421403123022901	2	BSLT	   78.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421403123151701	1	GRNT	   10.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421417123022101	1	CLAY	    0.00	   60.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	421417123022101	2	SHLE	   60.00		231APLG	BLACK	P	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	421427122434501	1	SNDS	    0.00		124NMSM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421428121340501	1	BSLT	  157.00		121PLCN		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421428123160301	1	GRVL	   70.00		110ALVM	CEMENTED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421432122310701	1	CLSN	    0.00		121VPSM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421440123163301	1	GRNT	   80.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421455122301201	1	BSLT	    0.00		122LTLBO		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421511123151201	1	GRVL	    0.00		110ALVM	GEMENTED SANDY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421516123150101	1	GRNT	   81.00		217GRDR	WEATHERED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421528123111201	1	ALVM			110ALVM	BOULDERS CLAY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421531123335501	1		   39.00		221GLIC		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421540123165101	1	GRNT	  110.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421548123143901	1		   58.00	  120.00	217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421549123151801	1	GRNT	  128.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421551122495101	1	GRVL	    0.00	   50.00	110ALVF		N	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421551122495101	2	CGLM	   50.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421606123081001	1	BSLT	   57.00		231APLG	GREY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421611123304601	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421617123353601	1				110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421621123153401	1		   68.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421623123161701	1	GRNT	   30.00		217GRDR	WEATHERED FRACTU	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421628123310101	1		  164.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421629123162701	1	GRNT	   87.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421636123314501	1	CLSN	   72.00	  125.00	221GLIC	FRACT CLAYSTONE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421659123330501	1	SDGL	  125.00	  140.00	110ALVM	SANDY GRAVEL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421706123134501	1	GRCL	    0.00	   65.00	110ALVM	CLAEY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
