# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select r.*, G.* from gw_reflist r right join gw_gwdd g on g.edit_table_nm = r.gw_ed_tbl_nm ' |# 02/19/2019 21:10:55, llorzol
#
gw_ed_tbl_nm	gw_ref_cd	gw_ref_nm	gw_sort_nu	gw_ref_ds	gw_valid_fg	parameter_cd	parameter_nm	col_width_nu	parameter_tp	parameter_var_nm	mtrc_unit_fc	mtrc_unit_prec_fc	insert_file_nm	insert_subfile_nm	start_byte_nu	parameter_len_nu	parameter_ptr_va	sig_fig_vector_tx	mandatory_fg	special_test_nu	edit_table_nm	head_1_tx	head_2_tx	head_3_tx	english_unit_tx	metric_unit_tx	missing_tx	reflist_insert_cd	reflist_update_cd	reflist_check_cd	valid_codes_nu	edit_table_nm_len_nu	record_type_nu	sub_record_type_nu	edit_option_tx	district_default_opt_nu	district_default_tx	table_nm	column_nm	gwdd_mn	gwdd_md
24s	128s	16s	9n	255s	1s	5s	50s	9n	2s	32s	8s	2s	32s	32s	9n	9n	5s	10s	1s	9n	24s	32s	32s	32s	32s	32s	32s	1s	1s	1s	9n	9n	9n	9n	6s	9n	128s	32s	32s	8s	25d
						C0000	CHECKSUM	0		CHECKSUM					0	0			N	0							--	3	3	3	23450119	0	0	0	NNNNNN	0				nwis	20-NOV-2018 22:35:47
						C001	Site ID (station number)	7	22	SID	 0	 0	SITE	none	6	15	 0		Y	1	sid				SITE-ID	SITE-ID	--	6	6	6	0	3	1	0	YYYYYN	0		sitefile_##	site_no	nwis	20-NOV-2018 20:48:00
sclass	U	Unchecked	4	Unchecked data.	Y	C003	Data reliability	7	21	SCLASS	 0	 0	SITE	none	445	1	 0		X	34	sclass		 DATA	 RELI-	ABILITY	ABILITY	--	6	2	6	4	6	1	0	YYYYYY	0		sitefile_##	reliability_cd	nwis	20-NOV-2018 20:48:00
sclass	M	Minimal	3	Minimal data.	Y	C003	Data reliability	7	21	SCLASS	 0	 0	SITE	none	445	1	 0		X	34	sclass		 DATA	 RELI-	ABILITY	ABILITY	--	6	2	6	4	6	1	0	YYYYYY	0		sitefile_##	reliability_cd	nwis	20-NOV-2018 20:48:00
sclass	L	Poor location	2	Location not accurate.	Y	C003	Data reliability	7	21	SCLASS	 0	 0	SITE	none	445	1	 0		X	34	sclass		 DATA	 RELI-	ABILITY	ABILITY	--	6	2	6	4	6	1	0	YYYYYY	0		sitefile_##	reliability_cd	nwis	20-NOV-2018 20:48:00
sclass	C	Checked	1	Data have been checked by the reporting agency.	Y	C003	Data reliability	7	21	SCLASS	 0	 0	SITE	none	445	1	 0		X	34	sclass		 DATA	 RELI-	ABILITY	ABILITY	--	6	2	6	4	6	1	0	YYYYYY	0		sitefile_##	reliability_cd	nwis	20-NOV-2018 20:48:00
						C004	Source agency code	6	22	SAGNCY	 0	 0	SITE	none	1	5	 0		Y	0	sagncy		SOURCE	  OF	 DATA	 DATA	--	6	6	6	0	6	1	0	YYYYNY	0		sitefile_##	agency_cd	nwis	20-NOV-2018 20:48:00
						C005	Project number	7	23	SPRNO	 0	 0	SITE	none	519	12	 0		N	0	sprno			PROJECT	NUMBER	NUMBER	--	2	2	2	0	5	1	0	YNNNNN	0		sitefile_##	project_no	nwis	20-NOV-2018 20:48:00
sdist	999	BQS	55	BRANCH OF QUALITY SYSTEMS	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
