# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_netw_01  order by site_no' |# 02/19/2019 21:01:27, llorzol
#
agency_cd	site_no	netw_seq_nu	netw_cd	netw_begin_dt	netw_end_dt	analyses_tp	netw_src_cd	anal_agency_cd	netw_freq_cd	netw_meth_cd	netw_1_cd	netw_2_cd	netw_web_cd	netw_cn	netw_cr	netw_mn	netw_md
5s	15s	9n	2s	4s	4s	2s	5s	5s	1s	1s	1s	1s	1s	8s	25d	8s	25d
USGS	413640121124301	1	WL	2001			USGS		Q		3		Y	tiffany	10-AUG-2001 14:06:01	tiffany	10-AUG-2001 14:06:01
USGS	413804121581501	1	WL	2001	2004		USGS		Q		3		Y	tiffany	25-JAN-2002 21:51:59	tiffany	12-JAN-2005 20:33:52
USGS	413936121490601	1	WL	2001	2004		USGS		Q		3		Y	tiffany	10-AUG-2001 14:05:59	tiffany	12-JAN-2005 20:33:51
USGS	414043121155501	1	WL	2001			USGS		Q		3		Y	tiffany	16-AUG-2001 16:27:34	tiffany	16-AUG-2001 16:27:34
USGS	414053121104101	1	WL	2001			USGS		Q		3		Y	tiffany	10-AUG-2001 14:06:00	tiffany	10-AUG-2001 14:06:00
USGS	414236121584601	1	WL	2001			USGS		Q		3		Y	tiffany	10-AUG-2001 14:06:01	tiffany	10-AUG-2001 14:06:01
USGS	414300121302401	1	WL	2001			USGS		Q		3		Y	tiffany	16-AUG-2001 16:27:34	tiffany	16-AUG-2001 16:27:34
USGS	414413121100501	1	WL	2001	2004		USGS		Q		3		Y	tiffany	10-AUG-2001 14:15:13	tiffany	12-JAN-2005 20:33:51
USGS	414531120574701	1	WL	2001	2004		USGS		Q		3		Y	tiffany	10-AUG-2001 14:15:15	tiffany	12-JAN-2005 20:33:51
USGS	414844121271901	1	WL	2001	2001		USGS		Q		3		Y	tiffany	16-AUG-2001 16:27:36	tiffany	05-FEB-2002 21:04:45
USGS	414844121271901	2	WL	2001	2004		USGS		C		3		Y	tiffany	05-FEB-2002 21:04:45	tiffany	12-JAN-2005 20:33:52
USGS	414931121303401	1	WL	2001	2002		USGS		Q		3		Y	tiffany	16-AUG-2001 16:27:35	tiffany	25-JAN-2002 23:09:36
USGS	414934121332101	1	WL	2001			USGS		Q		3		Y	tiffany	25-JAN-2002 14:48:32	tiffany	25-JAN-2002 14:48:32
USGS	415104121232901	1	WL	2000			USGS		C		3		Y	tiffany	16-AUG-2001 16:27:35	tiffany	16-AUG-2001 16:27:35
USGS	415312121403201	1	WL	2001			USGS		Q		3		Y	tiffany	06-FEB-2002 15:27:00	tiffany	06-FEB-2002 15:27:00
USGS	415341120535001	1	WL	2001	2004		USGS		Q		3		Y	tiffany	10-AUG-2001 17:04:57	tiffany	12-JAN-2005 20:33:51
USGS	415546121205401	1	WL	2001			USGS		C		3		Y	tiffany	27-MAR-2002 19:47:17	tiffany	27-MAR-2002 19:47:17
USGS	415710121373201	1	WL	2001	2005		USGS		C		3		Y	tiffany	23-JAN-2002 23:22:00	tiffany	12-JAN-2005 20:33:52
USGS	415820121332001	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	10-JUN-2002 21:30:35	tiffany	10-JUN-2002 21:30:35
USGS	415835121221701	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	10-JUN-2002 21:30:36	tiffany	10-JUN-2002 21:30:36
USGS	415946121213501	1	QW	2001	2001	N	CA001	USGS	O		3		Y	tiffany	16-AUG-2002 15:53:39	tiffany	16-AUG-2002 15:53:39
USGS	415947121243401	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	16-AUG-2002 15:46:49	tiffany	16-AUG-2002 15:46:49
USGS	415947121270301	1	QW	2001	2001	N	CA001	USGS	O		3		Y	tiffany	16-AUG-2002 15:51:23	tiffany	16-AUG-2002 15:51:23
USGS	415953121292901	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	16-AUG-2002 15:49:22	tiffany	16-AUG-2002 15:49:22
USGS	415953121312701	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	16-AUG-2002 15:35:35	tiffany	16-AUG-2002 15:35:35
USGS	415953121324001	1	QW	2001	2001	N	USGS	USGS	O		3		Y	tiffany	16-AUG-2002 15:40:37	tiffany	16-AUG-2002 15:40:37
USGS	415956117430201	1	WL	1955			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420006117385501	1	WL	1976			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420011121224301	1	WL	2001	2004		OR004		I		4	3	Y	tiffany	27-JUL-2006 13:07:52	tiffany	27-JUL-2006 13:07:52
USGS	420013121531801	1	WL	2001			USGS		Q		3		Y	tiffany	25-JAN-2002 14:49:10	tiffany	25-JAN-2002 14:49:10
USGS	420016121201901	1	WL	2001			OR004		I		4		Y	tiffany	14-NOV-2005 20:22:47	tiffany	14-NOV-2005 20:22:47
USGS	420030121140401	1	WL	1998			OR004		B		4		Y	tiffany	20-FEB-2003 17:04:29	tiffany	20-FEB-2003 17:04:29
USGS	420030121224201	1	WL	2001	2004		OR004		I		4	3	Y	tiffany	27-JUL-2006 13:07:52	tiffany	27-JUL-2006 13:07:52
USGS	420033121410001	1	WL	1968			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420037124120601	1	WL	1975			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420037124121801	1	WL	1975			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420038121141001	1	WL	1998	1999		OR004		M		4		Y	tiffany	20-FEB-2003 17:04:27	tiffany	20-FEB-2003 17:04:27
USGS	420038124122801	1	WL	1967			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420039124121201	1	WL	1966			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420042124120701	1	WL	1971			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420042124121301	1	WL	1972			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420042124121401	1	WL	1971			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420042124124901	1	WL	1970			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420043124120701	1	WL	1972			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420043124120801	1	WL	1971			OR004		M				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420043124121001	1	WL	1971			OR004		M				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420045124121501	1	WL	1971			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420049124122001	1	WL	1975			OR004		M				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	420050121132601	1	WL	1998	1999		OR004		S		4		Y	tiffany	26-MAR-2003 18:25:54	tiffany	26-MAR-2003 18:25:54
USGS	420050121224501	1	WL	2001			OR004		I		4		Y	tiffany	14-NOV-2005 20:22:41	tiffany	14-NOV-2005 20:22:41
USGS	420050124122701	1	WL	1966			OR004		M				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
