# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_otid_01  order by site_no' |# 02/19/2019 21:01:29, llorzol
#
agency_cd	site_no	otid_seq_nu	otid_id	assigner_nm	otid_web_cd	otid_cn	otid_cr	otid_mn	otid_md
5s	15s	9n	15s	15s	1s	8s	25d	8s	25d
USGS	10401600	2	214	WARING, 1909	Y	tiffany	02-OCT-2018 17:50:30	tiffany	02-OCT-2018 17:50:30
USGS	10401600	1	17120003002858	NHD REACHCODE	Y	tiffany	22-JAN-2018 16:05:19	tiffany	22-JAN-2018 16:05:19
USGS	10401600	3	317	PIPER, 1939	Y	tiffany	02-OCT-2018 17:50:30	tiffany	02-OCT-2018 17:50:30
USGS	11486990	2	LRDCT	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11486990	1	LRDCTL	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11507501	4	KRLR	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11507501	2	KRS1	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11507501	1	KR253.2	USBR	Y	tiffany	21-MAR-2013 12:55:02	tiffany	16-JUN-2016 19:31:02
USGS	11507501	3	KRLRB	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11508600	1	KRS6	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11509370	1	KR234.9S	USBR	Y	tiffany	21-MAR-2013 12:55:02	tiffany	17-JUN-2016 15:20:29
USGS	11509370	3	KR234.9	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11509370	2	KRS14	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	11509370	4	KRKN	USBR	Y	tiffany	17-JUN-2016 15:20:29	tiffany	17-JUN-2016 15:20:29
USGS	413640121124301	1	CDWR 366808	CDWR	Y	tiffany	10-AUG-2001 14:06:00	tiffany	10-AUG-2001 14:06:00
USGS	413804121581501	1	CDWR-49906	CDWR	Y	tiffany	25-JAN-2002 21:51:59	tiffany	25-JAN-2002 21:51:59
USGS	413851119183101	1	17120008005956	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	413905119224601	1	17120008005886	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	413936121490601	1	CDWR 11034	CDWR	Y	tiffany	10-AUG-2001 14:05:58	tiffany	10-AUG-2001 14:05:58
USGS	414053121104101	1	CDWR 78627	CDWR	Y	tiffany	10-AUG-2001 14:06:00	tiffany	10-AUG-2001 14:06:00
USGS	414203121104001	1	00100426	QWDATA REC NO	Y	tiffany	03-SEP-2002 20:42:56	tiffany	03-SEP-2002 20:42:56
USGS	414203121104001	2	0650001	USGS-NWQL	Y	tiffany	03-SEP-2002 20:42:56	tiffany	03-SEP-2002 20:42:56
USGS	414203121104002	1	CDWR 193052	CDWR	Y	tiffany	10-AUG-2001 14:15:14	tiffany	10-AUG-2001 14:15:14
USGS	414236121584601	1	CDWR 3960	CDWR	Y	tiffany	10-AUG-2001 14:06:01	tiffany	10-AUG-2001 14:06:01
USGS	414340119224501	1	17120008005963	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414413121100501	1	CDWR 224063	CDWR	Y	tiffany	10-AUG-2001 14:15:13	tiffany	10-AUG-2001 14:15:13
USGS	414430120595601	1	CDWR 705578	CDWR	Y	tiffany	10-AUG-2001 14:15:15	tiffany	10-AUG-2001 14:15:15
USGS	414531120574701	1	CDWR 557381	CDWR	Y	tiffany	10-AUG-2001 14:15:15	tiffany	10-AUG-2001 14:15:15
USGS	414541119214501	1	17120008005840	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414625120515001	1	CDWR 557373	CDWR	Y	tiffany	10-AUG-2001 14:15:16	tiffany	10-AUG-2001 14:15:16
USGS	414701121023101	1	CDWR 557380	CDWR	Y	tiffany	10-AUG-2001 14:15:17	tiffany	10-AUG-2001 14:15:17
USGS	414706122001701	1	CDWR 70191	CDWR	Y	tiffany	10-AUG-2001 14:15:16	tiffany	10-AUG-2001 14:15:16
USGS	414713121064301	1	CDWR 264800	CDWR	Y	tiffany	10-AUG-2001 14:15:16	tiffany	10-AUG-2001 14:15:16
USGS	414844121271901	1	QW 00100429	USGS-QWDATA	Y	tiffany	03-MAR-2003 16:40:01	tiffany	03-MAR-2003 16:40:01
USGS	414856119233201	1	17120008006059	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414903121234001	2	TID-14	USBR	Y	tiffany	17-JUN-2016 13:49:15	tiffany	17-JUN-2016 13:49:15
USGS	414903121234001	1	CDWR751117	CDWR	Y	tiffany	17-JUN-2016 13:49:15	tiffany	17-JUN-2016 13:49:15
USGS	414908119192001	1	17120008005950	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414941119331301	1	17120008006184	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414944119331001	1	17120008006126	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414949119330801	1	17120008006170	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	414953119370901	1	17120008006159	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:41	tiffany	21-AUG-2018 18:49:41
USGS	415031119335901	1	17120008005906	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:42	tiffany	21-AUG-2018 18:49:42
USGS	415055119344701	1	17120008005841	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:41	tiffany	21-AUG-2018 18:49:41
USGS	415057121022101	1	CDWR 414082	CDWR	Y	tiffany	10-AUG-2001 14:15:17	tiffany	10-AUG-2001 14:15:17
USGS	415059119382401	1	17120008005897	NHD REACHCODE	Y	tiffany	21-AUG-2018 18:49:41	tiffany	21-AUG-2018 18:49:41
